,activity_id,assay_chembl_id,molecule_chembl_id,type,standard_units,relation,standard_value,target_chembl_id,target_organism,assay_description,assay_type,smiles
2540,962259,CHEMBL636352,CHEMBL32665,LogD,,=,-1.8,CHEMBL2362975,,"Partition coefficient in n-octanol/phosphate buffer, at pH 7.4",P,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)N[C@@H](CC(=O)O)C(=O)O)n1
2545,963517,CHEMBL636352,CHEMBL35970,LogD,,=,0.7,CHEMBL2362975,,"Partition coefficient in n-octanol/phosphate buffer, at pH 7.4",P,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)NCCC(=O)O)n1
2548,964942,CHEMBL636352,CHEMBL35067,LogD,,=,-0.3,CHEMBL2362975,,"Partition coefficient in n-octanol/phosphate buffer, at pH 7.4",P,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)N[C@@H](CO)C(=O)O)n1
2551,967570,CHEMBL636352,CHEMBL287089,LogD,,=,0.6,CHEMBL2362975,,"Partition coefficient in n-octanol/phosphate buffer, at pH 7.4",P,CCc1cc(C(C)=O)c(O)cc1OCc1cncc(C(=O)Nc2nc(CC(=O)O)cs2)n1
2557,974637,CHEMBL635134,CHEMBL119971,LogD,,=,1.4,CHEMBL2362975,,Octanol water partition coefficient was determined at pH 7.4,P,Cc1nc(N)c(CN)c(-c2ccc(Cl)cc2Cl)n1
2562,977443,CHEMBL636352,CHEMBL34957,LogD,,=,2.8,CHEMBL2362975,,"Partition coefficient in n-octanol/phosphate buffer, at pH 7.4",P,CCc1cc(C(C)=O)c(O)cc1OCc1cccc(C(=O)N(CC)CCO)n1
2571,980819,CHEMBL635134,CHEMBL122474,LogD,,=,0.4,CHEMBL2362975,,Octanol water partition coefficient was determined at pH 7.4,P,NCc1c(N)nc(N)nc1-c1ccc(Cl)cc1Cl
2577,983447,CHEMBL635134,CHEMBL36020,LogD,,=,5.4,CHEMBL2362975,,Octanol water partition coefficient was determined at pH 7.4,P,NCc1c(N)nc(-c2ccccc2)nc1-c1ccc(Cl)cc1Cl
2583,984771,CHEMBL633733,CHEMBL53463,LogD,,=,0.07,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(=O)CO)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
2595,992123,CHEMBL633732,CHEMBL178,LogD,,=,0.66,CHEMBL2362975,,Partition coefficient in octanol-phosphate buffer at pH 7.4,P,COc1cccc2c1C(=O)c1c(O)c3c(c(O)c1C2=O)C[C@@](O)(C(C)=O)C[C@@H]3O[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1
